,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-18 12:38:52.250000000,2020,2960623488,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2309.7899999999995,0-15
1,U001,200744019,TARG us,2020-04-15 02:00:59.437500000,2020,1930659387,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,0-15
2,U001,200418007,AM ,2020-03-06 07:08:54.375000000,2020,1930610806,2020-11-03 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,
3,U001,200739534,OK systems,2020-04-20 03:11:16.000000000,2020,1930788296,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,
4,U001,200353024,DECA corporation,2020-04-28 05:42:13.453125000,2020,1930817482,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,0-15
5,U001,200744019,TARG associates,2020-04-20 19:43:00.625000000,2020,1930676042,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,16-30
6,CA02,140106408,WAL-M corp,2020-03-07 19:23:32.000000000,2020,2960618790,2020-06-03 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64982.589,
7,U001,200337148,COAS llc,2020-03-28 11:48:30.375000000,2020,1930592246,2020-02-03 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,0-15
8,U001,200794332,COST associates,2020-05-05 12:23:53.500000000,2020,1930731070,2020-07-04 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,0-15
9,U001,200794332,COST llc,2020-05-27 08:00:18.875000000,2020,1930803605,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,16-30
10,U001,200803720,DEC corp,2020-03-26 11:48:40.875000000,2020,1930698352,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,
11,U001,200794332,COST co,2020-04-16 01:58:30.875000000,2020,1930647189,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,16-30
12,U001,200020431,DEC us,2020-04-22 19:35:50.250000000,2020,1930861637,2020-06-05 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,
13,U001,200769623,WAL-MAR associates,2020-03-18 21:57:53.750000000,2020,1930635649,2020-12-03 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,
14,CA02,140105785,SHOPPE foundation,2020-05-18 16:09:11.500000000,2020,2960624627,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,1980.7199999999998,31-45
15,U001,200769623,WAL-MAR ,2020-03-14 15:26:30.890625000,2020,1930577078,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,2020-05-12 09:29:17.750000000,2020,1930774741,2020-10-04 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,16-30
17,U001,200772670,ASSOCIAT corporation,2020-03-27 09:29:19.500000000,2020,1930765053,2020-09-04 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,
